name,sex,percentage,abbreviation
Türkiye,M,18.7,TUR
Türkiye,F,51.3,TUR
Switzerland,M,6.7,CHE
Switzerland,F,9.6,CHE
Sweden,M,7.7,SWE
Sweden,F,7.9,SWE
Spain,M,20.3,ESP
Spain,F,19.7,ESP
Slovenia,M,7.9,SVN
Slovenia,F,8.1,SVN
Slovakia,M,17.1,SVK
Slovakia,F,19.4,SVK
Serbia,M,28.1,SRB
Serbia,F,30.9,SRB
Romania,M,20.3,ROU
Romania,F,28.4,ROU
Portugal,M,12.1,PRT
Portugal,F,14.4,PRT
Poland,M,13.1,POL
Poland,F,16.7,POL
Norway,M,7.4,NOR
Norway,F,8.5,NOR
North Macedonia,M,28.6,MKD
North Macedonia,F,35.1,MKD
Netherlands,M,5.4,NLD
Netherlands,F,8.2,NLD
Malta,M,8.4,MLT
Malta,F,16.1,MLT
Luxembourg,M,5.1,LUX
Luxembourg,F,7.0,LUX
Lithuania,M,19.3,LTU
Lithuania,F,14.5,LTU
Latvia,M,20.5,LVA
Latvia,F,21.0,LVA
Italy,M,19.0,ITA
Italy,F,25.4,ITA
Ireland,M,23.2,IRL
Ireland,F,20.3,IRL
Iceland,M,9.1,ISL
Iceland,F,11.0,ISL
Hungary,M,14.3,HUN
Hungary,F,16.8,HUN
Greece,M,14.6,GRC
Greece,F,21.8,GRC
Germany,M,9.6,DEU
Germany,F,14.9,DEU
France,M,11.3,FRA
France,F,13.0,FRA
Finland,M,9.2,FIN
Finland,F,10.9,FIN
Estonia,M,16.3,EST
Estonia,F,17.9,EST
Denmark,M,8.6,DNK
Denmark,F,7.7,DNK
Czechia,M,8.3,CZE
Czechia,F,17.7,CZE
Cyprus,M,10.8,CYP
Cyprus,F,14.8,CYP
Croatia,M,18.0,HRV
Croatia,F,17.3,HRV
Bulgaria,M,21.2,BGR
Bulgaria,F,25.9,BGR
Belgium,M,10.4,BEL
Belgium,F,14.1,BEL
Austria,M,7.8,AUT
Austria,F,11.2,AUT
